kit                              brute   thief   frost   HOUSE     avg
baseline                          38.4    37.6    21.0    70.0    41.8
WILD r2 (current)                 31.4    28.0    19.0    62.5    35.2
WILD r2 pays x2 in a match        25.8    25.3    16.1    57.2    31.1
2 WILDs r2                        26.0    19.5    15.8    56.1    29.3
2 WILDs r2, x2                    16.6    15.8    11.4    46.9    22.7
KEEN r1 (current)                 27.4    24.1    15.9    67.7    33.8
KEEN r1 +1 dmg                    20.0    20.0    11.3    63.2    28.6
+2 bolt r1 (current)              31.1    24.0    17.4    64.3    34.2
+3 bolt r1                        28.2    20.0    18.0    64.9    32.8
gold bolt r2 (ref)                18.6    23.9    12.7    53.9    27.3
