N=3000/cell; player 24/32 HP; boss HP 66 + 3/relic; loss% (delta vs baseline)
kit                                         brute F4    thief F4  gremlin F4    frost F4       HOUSE    avg
baseline                                        54.3        61.0        26.9        32.1        80.6    51.0
relic fang only                            31.6(-23)    57.7(-3)   12.4(-15)   20.1(-12)   68.1(-13)    38.0
relic battery only                         37.8(-16)   37.6(-23)   17.0(-10)   19.9(-12)    78.2(-2)    38.1
relic clover only                           48.3(-6)    53.6(-7)    23.1(-4)    30.4(-2)   71.0(-10)    45.3
relic crown only                             54.3(0)     61.0(0)     26.9(0)     32.1(0)   70.0(-11)    48.9
relic midas only                             54.3(0)     61.0(0)     26.9(0)     32.1(0)     83.1(3)    51.5
stack 2 (10 chips) boss only                 54.3(0)     61.0(0)     26.9(0)     32.1(0)   48.3(-32)    44.5
stack 4 (20 chips) boss only                 54.3(0)     61.0(0)     26.9(0)     32.1(0)   23.1(-58)    39.5
2x gold sword                              18.6(-36)   17.7(-43)   10.5(-16)    8.6(-24)   55.3(-25)    22.1
2x gold sword + MIDAS                       7.1(-47)    7.3(-54)    3.9(-23)    3.8(-28)   50.1(-31)    14.4
2x gold sword + fang                        9.1(-45)   14.3(-47)    4.8(-22)    3.9(-28)   44.2(-36)    15.3
2x gold bolt                               15.0(-39)   27.3(-34)    7.3(-20)   10.8(-21)   47.6(-33)    21.6
2x gold bolt + MIDAS                        8.1(-46)   12.2(-49)    3.2(-24)    6.0(-26)   40.7(-40)    14.0
2x gold bolt + fang                         6.7(-48)   23.6(-37)    2.7(-24)    5.7(-26)   29.1(-51)    13.6
2x charged                                 22.2(-32)   29.6(-31)    9.8(-17)   12.8(-19)   67.3(-13)    28.3
2x charged + ROD                           12.2(-42)   15.5(-46)    4.9(-22)    7.9(-24)   59.3(-21)    20.0
2x charged + fang                           7.9(-46)   25.4(-36)    3.3(-24)    6.1(-26)   46.2(-34)    17.8
2x spiked                                  23.4(-31)    8.3(-53)   11.3(-16)   10.9(-21)   67.7(-13)    24.3
2x spiked + CACTUS                          9.9(-44)    4.4(-57)    5.1(-22)    5.7(-26)   57.2(-23)    16.4
2x spiked + fang                           12.8(-41)    5.6(-55)    5.8(-21)    6.8(-25)   55.2(-25)    17.2
2x keen                                    19.9(-34)   15.3(-46)   12.8(-14)   10.2(-22)   71.1(-10)    25.9
2x keen + HONE                              7.6(-47)    4.4(-57)    4.2(-23)    4.3(-28)   61.2(-19)    16.3
2x keen + fang                             10.6(-44)   12.2(-49)    6.1(-21)    5.4(-27)   58.7(-22)    18.6
WILDs r1+r2                                26.1(-28)   18.9(-42)   15.2(-12)   16.9(-15)   50.2(-30)    25.5
WILDs r1+r2 + PRISM                        11.2(-43)   12.4(-49)    7.4(-20)   10.1(-22)   36.3(-44)    15.5
WILDs r1+r2 + fang                         12.6(-42)   15.3(-46)    6.6(-20)   10.2(-22)   32.6(-48)    15.5
1x charged + ROD                           21.2(-33)   28.4(-33)    9.2(-18)   12.4(-20)   67.4(-13)    27.7
1x gold bolt + MIDAS                       18.5(-36)   30.8(-30)    8.6(-18)   11.5(-21)   59.7(-21)    25.8
SPREAD gold sw r1 + chg bolt r2            20.8(-33)   25.7(-35)    9.4(-17)    9.8(-22)   63.8(-17)    25.9
SPREAD gold sw r1 + chg r2 + fang           9.6(-45)   22.7(-38)    3.7(-23)    5.2(-27)   47.3(-33)    17.7
SPREAD gold sw r1 + gold bolt r2 + fang     7.5(-47)   19.8(-41)    3.0(-24)    4.6(-28)   39.4(-41)    14.9
SPREAD gold bolt r1 + chg r2 + ROD         10.0(-44)   14.9(-46)    4.0(-23)    7.3(-25)   50.7(-30)    17.4
SPREAD gold bolt r1 + spk r2 + fang         7.2(-47)   13.9(-47)    3.4(-24)    6.2(-26)   41.2(-39)    14.4
3x gold bolt + MIDAS                        3.6(-51)    2.7(-58)    1.2(-26)    2.6(-30)   32.5(-48)     8.5
3x charged + ROD                            5.8(-48)    4.8(-56)    2.4(-25)    4.2(-28)   52.7(-28)    14.0
3x spiked + CACTUS                          6.2(-48)    1.2(-60)    2.7(-24)    4.4(-28)   50.9(-30)    13.1
3x keen + HONE                              2.8(-51)    0.5(-61)    1.8(-25)    2.3(-30)   50.2(-30)    11.5
3x gold sword + MIDAS                       4.0(-50)    1.0(-60)    1.6(-25)    2.3(-30)   44.7(-36)    10.7
SPREAD 3 (gsw,chg,spk) + fang               5.6(-49)    6.2(-55)    2.1(-25)    5.5(-27)   41.2(-39)    12.1
