visits 600, rollouts 300 (SE ~4.1 pts on a diff)
shop 1: n=259 chips on arrival avg 3.1 (p10 2 p90 4); can afford gild 0% relic 0%; LEAVE best 92%; +5 chips worth 5.5 pts
shop 2: n=194 chips on arrival avg 11.1 (p10 8 p90 14); can afford gild 74% relic 42%; LEAVE best 22%; +5 chips worth 0.7 pts
shop 3: n=147 chips on arrival avg 14.0 (p10 7 p90 20); can afford gild 80% relic 69%; LEAVE best 59%; +5 chips worth 6.1 pts
reroll(then simGreedy) vs leave: -0.9 pts (n=600, >0 24%)
decision spread (best-worst) avg 16.5 pts; trivial (<2pts) 10%
item                     n   price  dWin vs leave   best%   dWin@shop1/2/3
heal                      177     4      7.6         68   2.0 / 13.0 / 3.8
relic fang                  7    12      5.7         43   - / 19.8 / -4.8
gild gold bolt             79    10      3.5         28   - / 9.3 / -8.9
wild x2                   109     6     -0.3         33   8.0 / 2.1 / -3.2
remove rock                51     4     -1.2         29   - / 2.5 / -5.4
remove shield              79     4     -2.2         20   -2.5 / -0.8 / -5.2
relic crown                22    12     -2.6         18   - / 2.1 / -4.8
gild gold sword            77    10     -4.4         17   - / 2.5 / -12.3
gild charged bolt         108    10     -4.5         16   - / 2.8 / -17.4
gild gold shield           70    10     -8.9          6   - / -2.7 / -15.4
relic midas                16    12    -10.5          6   - / 0.9 / -19.3
gild keen sword            77    10    -10.7          6   - / -1.0 / -18.7
gild spiked shield         89    10    -10.7          4   - / -5.4 / -15.2
relic battery              21    12    -10.9          0   - / 0.9 / -19.8
relic bandage              20    12    -11.1          0   - / -1.2 / -23.3
relic clover               20    12    -13.4          0   - / -11.4 / -14.4
relic hone                 30    12    -18.0          3   - / -13.1 / -23.0
relic prism                20    12    -18.1          0   - / -13.7 / -21.1
relic cactus               16    12    -18.5          0   - / -10.8 / -26.3
relic rod                  12    12    -20.1          0   - / -16.7 / -24.8
